UNIQUEID,ID,SalesSqMTotal,SalesSqMOrganic,TotalSales,Name,Location,Address,Zip,Type,TypeAg,Size,Warehouse,Chain,Neighborhood,District,AreaSqM,USERID,Income,NEARDIST
211208,D11208,4714,100,1824318,Penny,238,Eppendorfer Weg 261,20251,Discounter,Conventional,387,Penny,Penny,Hoheluft-Ost,Hamburg-Nord,565538,42,61187,504.0
211209,D11209,4714,100,1824318,Penny,630,Muehlenkamp 32,22303,Discounter,Conventional,387,Penny,Penny,Winterhude,Hamburg-Nord,7127776,103,46292,263.1
211210,D11210,4714,100,1847888,Penny,681,Osdorfer LandStrasse 2,22607,Discounter,Conventional,392,Penny,Penny,Bahrenfeld,Altona,10541166,7,57408,2264.8
211211,D11211,4714,100,2328716,Penny,825,Sievekingsallee 185,22111,Discounter,Conventional,494,Penny,Penny,Horn,Hamburg-Mitte,5851881,45,20590,1725.1
211212,D11212,4714,100,2041162,Penny,810,Schulterblatt 135-137,20357,Discounter,Conventional,433,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,29546,444.7
211213,D11213,4714,100,2012878,Penny,373,Hammer LandStrasse 220,20537,Discounter,Conventional,427,Penny,Penny,Hamm,Hamburg-Mitte,3659862,36,22402,913.8
211214,D11214,4714,100,2097730,Penny,587,ManshardtStrasse 113b,22119,Discounter,Conventional,445,Penny,Penny,Horn,Hamburg-Mitte,5851881,45,21404,3150.5
211215,D11215,4714,100,2187296,Penny,206,Duvenstedter Damm 49,22397,Discounter,Conventional,464,Penny,Penny,Duvenstedt,Wandsbek,6782086,21,62769,4944.3
211216,D11216,4714,100,2243864,Penny,245,ErikaStrasse 62,20251,Discounter,Conventional,476,Penny,Penny,Eppendorf,Hamburg-Nord,2669829,26,55000,1015.9
211217,D11217,4714,100,2121300,Penny,88,Bauerberg 20,22111,Discounter,Conventional,450,Penny,Penny,Horn,Hamburg-Mitte,5851881,45,20590,1914.1
211218,D11218,4714,100,2168440,Penny,49,Ameisweg 4,21035,Discounter,Conventional,460,Penny,Penny,Bergedorf,Bergedorf,10267720,10,32526,2419.0
211219,D11219,4714,100,2187296,Penny,678,Osdorfer LandStrasse 118,22549,Discounter,Conventional,464,Penny,Penny,Osdorf,Altona,7250916,72,52591,2846.9
211220,D11220,4714,100,2215580,Penny,579,LuehmannStrasse 11,21075,Discounter,Conventional,470,Penny,Penny,Eissendorf,Harburg,8339152,25,30184,376.9
211221,D11221,4714,100,2225008,Penny,898,Tilsiter Strasse 2,22049,Discounter,Conventional,472,Penny,Penny,Wandsbek,Wandsbek,5943628,99,25848,2128.2
211222,D11222,4714,100,2248578,Penny,940,Wandsbeker Schuetzenhof 17,22047,Discounter,Conventional,477,Penny,Penny,Wandsbek,Wandsbek,5943628,99,28436,2774.5
211223,D11223,4714,100,2300432,Penny,791,Schaeferkampsallee 56-58,20357,Discounter,Conventional,488,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,43252,516.7
211224,D11224,4714,100,2333430,Penny,903,Tonndorfer HauptStrasse 66,22045,Discounter,Conventional,495,Penny,Penny,Tonndorf,Wandsbek,3941170,94,26876,4154.0
211225,D11225,4714,100,2352286,Penny,23,Alte ElbgauStrasse 18,22523,Discounter,Conventional,499,Penny,Penny,Eidelstedt,Eimsbuettel,8722266,22,28971,3592.8
211226,D11226,4714,100,2357000,Penny,236,Eppendorfer Weg 111,20259,Discounter,Conventional,500,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,37376,135.9
211227,D11227,4714,100,2404140,Penny,762,Rissener DorfStrasse 51,22559,Discounter,Conventional,510,Penny,Penny,Rissen,Altona,14866496,78,63196,2669.9
211228,D11228,4714,100,2781260,Penny,203,DrosselStrasse 18,22305,Discounter,Conventional,590,Penny,Penny,Barmbek-Nord,Hamburg-Nord,3780652,8,28260,390.8
211229,D11229,4714,100,2394712,Penny,92,Beerentalweg 35,21077,Discounter,Conventional,508,Penny,Penny,Eissendorf,Harburg,8339152,25,33298,1132.9
211230,D11230,4714,100,2446566,Penny,812,Schulterblatt 36,20357,Discounter,Conventional,519,Penny,Penny,Sternschanze,Altona,548429,91,29546,484.5
211231,D11231,4714,100,2498420,Penny,447,Holsteiner Chaussee 274,22457,Discounter,Conventional,530,Penny,Penny,Schnelsen,Eimsblttel,8950744,83,36104,2135.7
211232,D11232,4714,100,2592700,Penny,109,Berner Heerweg 173-175,22159,Discounter,Conventional,550,Penny,Penny,Farmsen-Berne,Wandsbek,8226357,27,31078,5138.9
211233,D11233,4714,100,2620984,Penny,182,Curslacker Heerweg 2a,21039,Discounter,Conventional,556,Penny,Penny,Curslack,Bergedorf,10573853,19,38408,3801.6
211234,D11234,4714,100,2828400,Penny,188,Cuxhavener Strasse 460,21149,Discounter,Conventional,600,Penny,Penny,Neugraben-Fischbek,Harburg,22523326,64,29480,1561.0
211235,D11235,4714,100,2658696,Penny,31,Alter Teichweg 65,22049,Discounter,Conventional,564,Penny,Penny,Dulsberg,Hamburg-Nord,1218421,20,25523,1270.2
211236,D11236,4714,100,2663410,Penny,172,Carl-Petersen-Strasse 45,20535,Discounter,Conventional,565,Penny,Penny,Hamm,Hamburg-Mitte,3659862,36,29023,613.8
211237,D11237,4714,100,2663410,Penny,165,Bremer Strasse 90,21073,Discounter,Conventional,565,Penny,Penny,Eissendorf,Harburg,8339152,25,25250,831.3
211238,D11238,4714,100,2668124,Penny,248,Ernst-Bergeest-Weg 53,21077,Discounter,Conventional,566,Penny,Penny,Marmstorf,Harburg,5843405,58,33298,1705.7
211239,D11239,4714,100,2828400,Penny,833,Spitzbergenweg 36,22145,Discounter,Conventional,600,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31937,2156.5
211240,D11240,4714,100,2672838,Penny,246,Erlerring 5,21109,Discounter,Conventional,567,Penny,Penny,Wilhelmsburg,Hamburg-Mitte,30736334,101,20695,4064.3
211241,D11241,4714,100,2696408,Penny,365,Hamburger Strasse 1-15,22083,Discounter,Conventional,572,Penny,Penny,Barmbek-Sued,Hamburg-Nord,3046061,9,39212,1522.3
211242,D11242,4714,100,3021674,Penny,743,Rappoltweg 3-5,21031,Discounter,Conventional,641,Penny,Penny,Lohbruegge,Bergedorf,13044963,54,28027,2856.7
211243,D11243,4714,100,2719978,Penny,68,Bahrenfelder Strasse 147,22765,Discounter,Conventional,577,Penny,Penny,Ottensen,Altona,2551538,74,31563,201.0
211244,D11244,4714,100,2719978,Penny,336,Groemitzer Weg 42,22147,Discounter,Conventional,577,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31937,4710.2
211245,D11245,4714,100,2828400,Penny,122,Billstedter Platz 42d,22111,Discounter,Conventional,600,Penny,Penny,Billstedt,Hamburg-Mitte,16923802,13,23294,3973.7
211246,D11246,4714,100,2823686,Penny,299,Fuhlsbuettler Strasse 428,22309,Discounter,Conventional,599,Penny,Penny,Barmbek-Nord,Hamburg-Nord,3780652,8,33708,1343.0
211247,D11247,4714,100,2828400,Penny,169,Buergerweide 64-66,20535,Discounter,Conventional,600,Penny,Penny,Borgfelde,Hamburg-Mitte,804063,16,29023,1210.7
211248,D11248,4714,100,2889682,Penny,522,Kraehenweg 4,22459,Discounter,Conventional,613,Penny,Penny,Niendorf,Eimsbuettel,12417855,68,39548,1259.7
211249,D11249,4714,100,2913252,Penny,787,Saseler Markt 14a,22393,Discounter,Conventional,618,Penny,Penny,Sasel,Wandsbek,8363060,82,58603,2230.5
211250,D11250,4714,100,2936822,Penny,717,Pinneberger Chaussee 114,22523,Discounter,Conventional,623,Penny,Penny,Eidelstedt,Eimsbuettel,8722266,22,28971,4131.6
211251,D11251,4714,100,3125382,Penny,266,Fleetplatz 1-7,21035,Discounter,Conventional,663,Penny,Penny,Neuallermoehe,Bergedorf,4204288,61,28591,3744.5
211252,D11252,4714,100,3040530,Penny,654,Nobistor 27,22767,Discounter,Conventional,645,Penny,Penny,Altona-Altstadt,Altona,2304126,5,27436,690.0
211253,D11253,4714,100,3064100,Penny,764,Rodigallee 315,22043,Discounter,Conventional,650,Penny,Penny,Jenfeld,Wandsbek,4991226,48,22447,4736.0
211254,D11254,4714,100,3082956,Penny,961,WeissenseeStrasse 5a-5e,22149,Discounter,Conventional,654,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,27306,6035.8
211255,D11255,4714,100,3247946,Penny,946,Washingtonallee 87,22111,Discounter,Conventional,689,Penny,Penny,Horn,Hamburg-Mitte,5851881,45,21404,2967.6
211256,D11256,4714,100,3125382,Penny,16,Alsterdorfer Strasse 63,22299,Discounter,Conventional,663,Penny,Penny,Winterhude,Hamburg-Nord,7127776,103,53934,868.2
211257,D11257,4714,100,3064100,Penny,657,Norbert-Schmid-Platz 3,22399,Discounter,Conventional,650,Penny,Penny,Hummelsbuettel,Wandsbek,9083577,46,42596,3955.3
211258,D11258,4714,100,3257374,Penny,134,Bornheide 23,22549,Discounter,Conventional,691,Penny,Penny,Osdorf,Altona,7250916,72,42956,2310.5
211259,D11259,4714,100,3191378,Penny,548,Langenfelder Damm 29-31,20257,Discounter,Conventional,677,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,33225,310.5
211260,D11260,4714,100,3342226,Penny,823,Sieldeich 9-11,20539,Discounter,Conventional,709,Penny,Penny,Veddel,Hamburg-Mitte,3053946,96,13700,3307.6
211261,D11261,4714,100,3266802,Penny,585,Maimoorweg 46,22179,Discounter,Conventional,693,Penny,Penny,Bramfeld,Wandsbek,10065838,17,29453,2688.5
211262,D11262,4714,100,3370510,Penny,949,Weberade 3-5,21031,Discounter,Conventional,715,Penny,Penny,Lohbruegge,Bergedorf,13044963,54,28027,3064.8
211263,D11263,4714,100,3488360,Penny,725,Poppenbuettler HauptStrasse 5,22399,Discounter,Conventional,740,Penny,Penny,Poppenbuettel,Wandsbek,8105178,75,53568,3396.3
211264,D11264,4714,100,3488360,Penny,367,Hamburger Strasse 188,22083,Discounter,Conventional,740,Penny,Penny,Barmbek-Sued,Hamburg-Nord,3046061,9,30047,1513.9
211265,D11265,4714,100,3535500,Penny,747,Reeperbahn 108-114,20359,Discounter,Conventional,750,Penny,Penny,St.Pauli,Hamburg-Mitte,2107349,87,27436,1093.9
211266,D11266,4714,100,3610924,Penny,21,Alte Berner Strasse 10,22147,Discounter,Conventional,766,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31078,2846.4
211267,D11267,4714,100,3676920,Penny,566,LiliencronStrasse 84-102,22149,Discounter,Conventional,780,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31937,6263.4
211268,D11268,4714,100,3771200,Penny,774,Rothenburgsorter Marktplatz 1a,20539,Discounter,Conventional,800,Penny,Penny,Rothenburgsort,Hamburg-Mitte,5072026,80,19475,3048.9
211269,D11269,4714,100,3771200,Penny,244,Erdkampsweg 43,22335,Discounter,Conventional,800,Penny,Penny,Fuhlsbuettel,Hamburg-Nord,7774423,30,36770,452.7
211270,D11270,4714,100,3771200,Penny,562,Lentersweg 38-40,22339,Discounter,Conventional,800,Penny,Penny,Hummelsbuettel,Wandsbek,9083577,46,34333,1225.1
211271,D11271,4714,100,3771200,Penny,394,Hegeneck 5-21,22149,Discounter,Conventional,800,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31937,6404.5
211272,D11272,4714,100,3771200,Penny,495,Kieler Strasse 236,22525,Discounter,Conventional,800,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,33225,555.0
211273,D11273,4714,100,3771200,Penny,300,Fuhlsbuettler Strasse 599,22337,Discounter,Conventional,800,Penny,Penny,Ohlsdorf,Hamburg-Nord,7160747,71,37326,2256.5
211274,D11274,4714,100,3771200,Penny,25,Alte HolstenStrasse 23-25,21031,Discounter,Conventional,800,Penny,Penny,Lohbruegge,Bergedorf,13044963,54,30769,858.6
211275,D11275,4714,100,3771200,Penny,780,Rugenbarg 85-87,22549,Discounter,Conventional,800,Penny,Penny,Osdorf,Altona,7250916,72,42956,2209.0
211276,D11276,4714,100,3771200,Penny,229,ElbgauStrasse 122,22547,Discounter,Conventional,800,Penny,Penny,Lurup,Altona,6292323,56,27260,4436.6
211277,D11277,4714,100,3771200,Penny,663,Oberer Landweg 7,21033,Discounter,Conventional,800,Penny,Penny,Bergedorf,Bergedorf,10267720,10,29645,1911.6
211278,D11278,4714,100,3959760,Penny,153,Bargteheider Strasse 83-87,22143,Discounter,Conventional,840,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31937,5061.6
211279,D11279,4714,100,3959760,Penny,790,Saseler Strasse 136a,22145,Discounter,Conventional,840,Penny,Penny,Rahlstedt,Wandsbek,26565949,76,31078,2294.8
211280,D11280,4714,100,4006900,Penny,275,Friedrich-Ebert-Damm 44,22047,Discounter,Conventional,850,Penny,Penny,Wandsbek,Wandsbek,5943628,99,23733,1806.9
211281,D11281,4714,100,4101180,Penny,391,Heegbarg 31,22391,Discounter,Conventional,870,Penny,Penny,Poppenbuettel,Wandsbek,8105178,75,53568,3301.4
211282,D11282,4714,100,4242600,Penny,814,Schwarzer Weg 2-6,22309,Discounter,Conventional,900,Penny,Penny,Steilshoop,Wandsbek,2498357,88,25966,1817.1
211283,D11283,4714,100,4242600,Penny,848,Steindamm 22,20099,Discounter,Conventional,900,Penny,Penny,St.Georg,Hamburg-Mitte,1424825,86,30196,379.1
211284,D11284,4714,100,4242600,Penny,880,Suelldorfer Kirchenweg 2b,22587,Discounter,Conventional,900,Penny,Penny,Blankenese,Altona,5733578,15,71828,586.2
211285,D11285,4714,100,4242600,Penny,466,Hummelsbuetteler Weg 52-56,22339,Discounter,Conventional,900,Penny,Penny,Hummelsbuettel,Wandsbek,9083577,46,36661,2437.8
211286,D11286,4714,100,4299168,Penny,846,Steinbeker Grenzdamm 4-6,22115,Discounter,Conventional,912,Penny,Penny,Billstedt,Hamburg-Mitte,16923802,13,25123,5921.1
211287,D11287,4714,100,4435874,Penny,6,AlgermissenStrasse 2,21109,Discounter,Conventional,941,Penny,Penny,Wilhelmsburg,Hamburg-Mitte,30736334,101,20695,4744.6
211288,D11288,4714,100,4629148,Penny,274,Friedensallee 98,22763,Discounter,Conventional,982,Penny,Penny,Ottensen,Altona,2551538,74,35017,157.7
211289,D11289,4714,100,4714000,Penny,418,Heussweg 52-54,20255,Discounter,Conventional,1000,Penny,Penny,Eimsbuettel,Eimsbuettel,3203037,24,37982,140.2
211290,D11290,4714,100,4714000,Penny,658,Nordalbingerweg 11,22455,Discounter,Conventional,1000,Penny,Penny,Niendorf,Eimsbuettel,12417855,68,39548,1912.1
211291,D11291,4714,100,6599600,Penny,201,Droopweg 25,20537,Discounter,Conventional,1400,Penny,Penny,Hamm,Hamburg-Mitte,3659862,36,22402,895.3
211292,D11292,4714,100,10087960,Penny,62,Aussenmuehlenweg 10,21073,Discounter,Conventional,2140,Penny,Penny,Wilstorf,Harburg,3422804,102,22126,989.3
511002,L11002,4112,174,3289600,E-aktiv Markt,938,Wandsbeker MarktStrasse 38,22041,Large_Full_Service,Conventional,800,Edeka Nord,Edeka,Marienthal,Wandsbek,3213231,57,33940,93.3
511003,L11003,4112,174,3495200,E-aktiv Markt,253,EulenkrugStrasse 55-57,22359,Large_Full_Service,Conventional,850,Edeka Nord,Edeka,Volksdorf,Wandsbek,11576239,97,59711,313.6
511004,L11004,4112,174,3536320,E-aktiv Markt,259,Fahrenort 98,22547,Large_Full_Service,Conventional,860,Edeka Nord,Edeka,Lurup,Altona,6292323,56,25548,3867.4
511005,L11005,4112,174,3384176,E-aktiv Markt,592,Marienthaler Strasse 145,20535,Large_Full_Service,Conventional,823,Edeka Nord,Edeka,Hamm,Hamburg-Mitte,3659862,36,36113,542.0
511006,L11006,4112,174,3412960,E-aktiv Markt,588,ManshardtStrasse 115g,22119,Large_Full_Service,Conventional,830,Edeka Nord,Edeka,Horn,Hamburg-Mitte,5851881,45,21404,3178.2
511007,L11007,4112,174,4050320,E-aktiv Markt,789,Saseler Markt 19-20,22393,Large_Full_Service,Conventional,985,Edeka Nord,Edeka,Sasel,Wandsbek,8363060,82,58603,2296.6
511008,L11008,4112,174,3495200,E-aktiv Markt,919,Volksdorfer Damm 271,22395,Large_Full_Service,Conventional,850,Edeka Nord,Edeka,Bergstedt,Wandsbek,7039240,11,48075,845.8
511009,L11009,4112,174,3700800,E-aktiv Markt,233,Eppendorfer LandStrasse 108-110,20249,Large_Full_Service,Conventional,900,Edeka Nord,Edeka,Eppendorf,Hamburg-Nord,2669829,26,55000,902.6
511010,L11010,4112,174,3700800,E-aktiv Markt,465,Hummelsbuetteler Markt 34,22339,Large_Full_Service,Conventional,900,Edeka Nord,Edeka,Hummelsbuettel,Wandsbek,9083577,46,36661,2375.7
511011,L11011,4112,174,3700800,E-aktiv Markt,294,Fuhlsbuettler Strasse 188-190,22307,Large_Full_Service,Conventional,900,Edeka Nord,Edeka,Barmbek-Nord,Hamburg-Nord,3780652,8,38146,300.4
511012,L11012,4112,174,3836496,E-aktiv Markt,397,Heidhorst 4,21031,Large_Full_Service,Conventional,933,Edeka Nord,Edeka,Lohbruegge,Bergedorf,13044963,54,28027,4422.7
511013,L11013,4112,174,3865280,E-aktiv Markt,858,Strassburger Strasse 34,22049,Large_Full_Service,Conventional,940,Edeka Nord,Edeka,Dulsberg,Hamburg-Nord,1218421,20,25996,1138.4
511014,L11014,4112,174,4811040,E-aktiv Markt,258,Fahrenkroen 133,22179,Large_Full_Service,Conventional,1170,Edeka Nord,Edeka,Bramfeld,Wandsbek,10065838,17,29836,4552.5
511015,L11015,4112,174,4112000,E-aktiv Markt,9,Alsterdorfer Markt 8,22297,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Alsterdorf,Hamburg-Nord,2900351,2,46062,2072.5
511016,L11016,4112,174,4523200,E-aktiv Markt,905,Traberweg 1,22159,Large_Full_Service,Conventional,1100,Edeka Nord,Edeka,Farmsen-Berne,Wandsbek,8226357,27,29541,3833.5
511017,L11017,4112,174,3906400,E-aktiv Markt,220,Eimsbuetteler Chaussee 17,20259,Large_Full_Service,Conventional,950,Edeka Nord,Edeka,Eimsbuettel,Eimsbuettel,3203037,24,30953,529.1
511018,L11018,4112,174,4112000,E-aktiv Markt,520,KoppelStrasse 47-49,22529,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Lokstedt,Eimsbuettel,4896094,55,35068,1824.5
511019,L11019,4112,174,4112000,E-aktiv Markt,706,Paul-Roosen-Strasse 8,22767,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,St.Pauli,Hamburg-Mitte,2107349,87,27436,1004.2
511020,L11020,4112,174,3906400,E-aktiv Markt,20,Alte Aue 2,21129,Large_Full_Service,Conventional,950,Edeka Nord,Edeka,Finkenwerder und Waltershof,Hamburg-Mitte,17704908,28,30441,245.6
511021,L11021,4112,174,5345600,E-aktiv Markt,863,StresemannStrasse 161,22769,Large_Full_Service,Conventional,1300,Edeka Nord,Edeka,Altona-Nord,Altona,2222785,6,30332,1045.3
511022,L11022,4112,174,7812800,E-aktiv Markt,431,Hoheluftchaussee 52-54,20253,Large_Full_Service,Conventional,1900,Edeka Nord,Edeka,Hoheluft-West,Eimsbuettel,719573,43,55018,214.3
511023,L11023,4112,174,5962400,E-aktiv Markt,710,Pezolddamm 154,22159,Large_Full_Service,Conventional,1450,Edeka Nord,Edeka,Farmsen-Berne,Wandsbek,8226357,27,29836,4136.3
511024,L11024,4112,174,6168000,E-aktiv Markt,822,Sieker LandStrasse 31,22143,Large_Full_Service,Conventional,1500,Edeka Nord,Edeka,Rahlstedt,Wandsbek,26565949,76,31937,4528.6
511025,L11025,4112,174,7956720,E-aktiv Markt,638,Neuengammer Hausdeich 215,21039,Large_Full_Service,Conventional,1935,Edeka Nord,Edeka,Neuengamme,Bergedorf,18143224,63,38408,3800.6
511026,L11026,4112,174,8141760,E-center,933,Wandsbeker Chaussee 248,22089,Large_Full_Service,Conventional,1980,Edeka Nord,Edeka,Eilbek,Wandsbek,1751374,23,33161,447.8
511027,L11027,4112,174,10280000,E-center,154,Bramfelder Chaussee 84-86,22177,Large_Full_Service,Conventional,2500,Edeka Nord,Edeka,Bramfeld,Wandsbek,10065838,17,28436,1635.3
511028,L11028,4112,174,10280000,E-center,685,OsterfeldStrasse 30-40,22529,Large_Full_Service,Conventional,2500,Edeka Nord,Edeka,Lokstedt,Eimsbuettel,4896094,55,46623,2047.8
511029,L11029,4112,174,11102400,E-center,301,GasStrasse 4,22761,Large_Full_Service,Conventional,2700,Edeka Nord,Edeka,Bahrenfeld,Altona,10541166,7,58638,468.1
511030,L11030,4112,174,16859200,E-center,423,Hoergensweg 5,22523,Large_Full_Service,Conventional,4100,Edeka Nord,Edeka,Eidelstedt,Eimsbuettel,8722266,22,28971,3086.7
511031,L11031,4112,174,16859200,E-center,817,Schweriner Strasse 8-12,22143,Large_Full_Service,Conventional,4100,Edeka Nord,Edeka,Rahlstedt,Wandsbek,26565949,76,31937,4710.4
511032,L11032,4112,174,4005088,E-neukauf,130,Boltenhagener Strasse 3,22147,Large_Full_Service,Conventional,974,Edeka Nord,Edeka,Rahlstedt,Wandsbek,26565949,76,31077,5508.8
511033,L11033,4112,174,6279024,E-neukauf,491,Kandinskyallee 14-18,22115,Large_Full_Service,Conventional,1527,Edeka Nord,Edeka,Billstedt,Hamburg-Mitte,16923802,13,25123,6209.7
511034,L11034,4112,174,4523200,E-neukauf,209,Edith-Stein-Platz 4,21035,Large_Full_Service,Conventional,1100,Edeka Nord,Edeka,Neuallermoehe,Bergedorf,4204288,61,30454,2299.4
511035,L11035,4112,174,5756800,E-neukauf,267,Fleetplatz 2-4,21035,Large_Full_Service,Conventional,1400,Edeka Nord,Edeka,Neuallermoehe,Bergedorf,4204288,61,28591,3772.7
511036,L11036,4112,174,7270016,E-neukauf,755,Reinbeker Redder 283,21031,Large_Full_Service,Conventional,1768,Edeka Nord,Edeka,Lohbruegge,Bergedorf,13044963,54,28027,2973.1
511037,L11037,4112,174,3289600,Edeka,150,Bramfelder Chaussee 322,22177,Large_Full_Service,Conventional,800,Edeka Nord,Edeka,Bramfeld,Wandsbek,10065838,17,29330,3842.9
511038,L11038,4112,174,3947520,Edeka,782,Sand 31,21073,Large_Full_Service,Conventional,960,Edeka Nord,Edeka,Harburg,Harburg,3599112,38,24311,276.5
511039,L11039,4112,174,3968080,Edeka,335,Grosser Burstah 31,20457,Large_Full_Service,Conventional,965,Edeka Nord,Edeka,Kleiner Grasbrook und Steinwerder,Hamburg-Mitte,6236813,50,12368,3241.7
511040,L11040,4112,174,3289600,Edeka,692,OsterStrasse 86-90,20259,Large_Full_Service,Conventional,800,Edeka Nord,Edeka,Eimsbuettel,Eimsbuettel,3203037,24,37376,43.1
511041,L11041,4112,174,3289600,Edeka,616,MilchStrasse 1,20148,Large_Full_Service,Conventional,800,Edeka Nord,Edeka,Rotherbaum,Eimsbuettel,2163991,81,80458,1035.6
511042,L11042,4112,174,4728800,Edeka,689,OsterStrasse 120,20255,Large_Full_Service,Conventional,1150,Edeka Nord,Edeka,Eimsbuettel,Eimsbuettel,3203037,24,35507,83.3
511043,L11043,4112,174,4934400,Edeka,952,Wedeler LandStrasse 52,22559,Large_Full_Service,Conventional,1200,Edeka Nord,Edeka,Rissen,Altona,14866496,78,63196,2633.1
511044,L11044,4112,174,3680240,Edeka,384,Harksheider Strasse 41,22399,Large_Full_Service,Conventional,895,Edeka Nord,Edeka,Poppenbuettel,Wandsbek,8105178,75,48532,3913.9
511045,L11045,4112,174,3820048,Edeka,232,Eppendorfer Baum 35,20249,Large_Full_Service,Conventional,929,Edeka Nord,Edeka,Hoheluft-Ost,Hamburg-Nord,565538,42,68501,733.0
511046,L11046,4112,174,3289600,Edeka,364,HallerStrasse 78,20146,Large_Full_Service,Conventional,800,Edeka Nord,Edeka,Rotherbaum,Eimsbuettel,2163991,81,80458,901.7
511047,L11047,4112,174,3536320,Edeka,831,Spitzbergenweg 30,22145,Large_Full_Service,Conventional,860,Edeka Nord,Edeka,Rahlstedt,Wandsbek,26565949,76,31937,2210.7
511048,L11048,4112,174,4112000,Edeka,234,Eppendorfer LandStrasse 41,20249,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Eppendorf,Hamburg-Nord,2669829,26,68501,1131.6
511049,L11049,4112,174,4663008,Edeka,695,Ottenser HauptStrasse 10,22765,Large_Full_Service,Conventional,1134,Edeka Nord,Edeka,Ottensen,Altona,2551538,74,31563,113.7
511050,L11050,4112,174,5756800,Edeka,631,Muehlenkamp 45,22303,Large_Full_Service,Conventional,1400,Edeka Nord,Edeka,Winterhude,Hamburg-Nord,7127776,103,54415,307.6
511051,L11051,4112,174,5756800,Edeka,228,ElbgauStrasse 118a,22547,Large_Full_Service,Conventional,1400,Edeka Nord,Edeka,Lurup,Altona,6292323,56,27260,4443.2
511052,L11052,4112,174,4112000,Edeka,383,Harksheider Strasse 2,22399,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Poppenbuettel,Wandsbek,8105178,75,53568,3532.8
511053,L11053,4112,174,5756800,Edeka,540,Kupferhof 4,21029,Large_Full_Service,Conventional,1400,Edeka Nord,Edeka,Bergedorf,Bergedorf,10267720,10,30769,372.8
511054,L11054,4112,174,6168000,Edeka,389,Heegbarg 25,22391,Large_Full_Service,Conventional,1500,Edeka Nord,Edeka,Poppenbuettel,Wandsbek,8105178,75,53568,3336.4
511055,L11055,4112,174,6168000,Edeka,180,ConventStrasse 8-10,22089,Large_Full_Service,Conventional,1500,Edeka Nord,Edeka,Eilbek,Wandsbek,1751374,23,34192,1247.1
511056,L11056,4112,174,4112000,Edeka,862,Stresemannallee 12-16,22529,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Lokstedt,Eimsbuettel,4896094,55,49687,1678.3
511057,L11057,4112,174,4112000,Edeka,464,Hummelsbuetteler LandStrasse 9-11,22335,Large_Full_Service,Conventional,1000,Edeka Nord,Edeka,Fuhlsbuettel,Hamburg-Nord,7774423,30,36770,625.7
511058,L11058,4112,174,4284704,Edeka,728,PostStrasse 36,20354,Large_Full_Service,Conventional,1042,Edeka Nord,Edeka,Neustadt,Hamburg-Mitte,1952159,66,41813,1181.4
511059,L11059,4112,174,6579200,Edeka,530,Kroogbloecke 40-44,22119,Large_Full_Service,Conventional,1600,Edeka Nord,Edeka,Horn,Hamburg-Mitte,5851881,45,21404,2808.8
511060,L11060,4112,174,8224000,Edeka,334,Grosse BergStrasse 152-162,22767,Large_Full_Service,Conventional,2000,Edeka Nord,Edeka,Altona-Altstadt,Altona,2304126,5,28304,
511061,L11061,4112,174,9046400,Edeka,521,Kraehenweg 19,22459,Large_Full_Service,Conventional,2200,Edeka Nord,Edeka,Niendorf,Eimsbuettel,12417855,68,39548,1255.7
511062,L11062,4112,174,6332480,Edeka,909,Ueberseeboulevard 4-10,20457,Large_Full_Service,Conventional,1540,Edeka Nord,Edeka,HafenCity,Hamburg-Mitte,1392149,34,56744,1796.9
511063,L11063,4112,174,14392000,Edeka,670,Oelmuehlenweg 4,22047,Large_Full_Service,Conventional,3500,Edeka Nord,Edeka,Tonndorf,Wandsbek,3941170,94,27056,2717.9
511064,L11064,4112,174,4860384,Edeka,125,Blankeneser BahnhofStrasse 17,22587,Large_Full_Service,Conventional,1182,Edeka Nord,Edeka,Blankenese,Altona,5733578,15,106650,640.9
511065,L11065,4112,174,3145680,Edeka,644,Neuer Steinweg 5,20459,Large_Full_Service,Conventional,765,Edeka Nord,Edeka,Neustadt,Hamburg-Mitte,1952159,66,28934,1007.6
511066,L11066,3925,166,11775000,Kaufland,633,Nedderfeld 70,22529,Large_Full_Service,Conventional,3000,Kaufland,Other,Eppendorf,Hamburg-Nord,2669829,26,46623,2127.5
